instance p cost time
uf250-058.cnf 0.9 18 20.0003
uf250-059.cnf 0.1 0 0.827503
uf250-059.cnf 0.2 0 0.0126143
uf250-059.cnf 0.3 0 0.172126
uf250-059.cnf 0.4 0 0.011638
uf250-059.cnf 0.5 0 0.0127777
uf250-059.cnf 0.6 0 0.00664205
uf250-059.cnf 0.7 0 0.0186915
uf250-059.cnf 0.8 0 1.3335
uf250-059.cnf 0.9 18 20.0003
uf250-06.cnf 0.1 0 0.392652
uf250-06.cnf 0.2 0 0.0620242
uf250-06.cnf 0.3 0 0.00553908
uf250-06.cnf 0.4 0 0.00270854
uf250-06.cnf 0.5 0 0.00371103
uf250-06.cnf 0.6 0 0.00248948
uf250-06.cnf 0.7 0 0.0213738
uf250-06.cnf 0.8 0 1.88147
uf250-06.cnf 0.9 14 20.0102
uf250-060.cnf 0.1 0 0.0185811
uf250-060.cnf 0.2 0 0.00210687
uf250-060.cnf 0.3 0 0.00575621
uf250-060.cnf 0.4 0 0.00658246
uf250-060.cnf 0.5 0 0.00236293
uf250-060.cnf 0.6 0 0.0031113
uf250-060.cnf 0.7 0 0.0198623
uf250-060.cnf 0.8 0 3.26595
uf250-060.cnf 0.9 26 20.0003
uf250-061.cnf 0.1 0 0.0193357
uf250-061.cnf 0.2 0 0.0589775
uf250-061.cnf 0.3 0 0.0101785
uf250-061.cnf 0.4 0 0.00575907
uf250-061.cnf 0.5 0 0.00290134
uf250-061.cnf 0.6 0 0.00318026
uf250-061.cnf 0.7 0 0.0094465
uf250-061.cnf 0.8 0 1.06208
uf250-061.cnf 0.9 18 20.0002
uf250-062.cnf 0.1 0 3.38806
uf250-062.cnf 0.2 0 1.28976
uf250-062.cnf 0.3 0 0.0330218
uf250-062.cnf 0.4 0 0.0215074
uf250-062.cnf 0.5 0 0.0131982
uf250-062.cnf 0.6 0 0.00609276
uf250-062.cnf 0.7 0 0.239915
uf250-062.cnf 0.8 4 20.0002
uf250-062.cnf 0.9 20 20.0002
uf250-063.cnf 0.1 0 0.130667
uf250-063.cnf 0.2 0 0.102097
uf250-063.cnf 0.3 0 0.236676
uf250-063.cnf 0.4 0 0.0266365
uf250-063.cnf 0.5 0 0.00622781
uf250-063.cnf 0.6 0 0.00609338
uf250-063.cnf 0.7 0 0.00291771
uf250-063.cnf 0.8 0 0.242495
uf250-063.cnf 0.9 21 20.0002
uf250-064.cnf 0.1 0 0.0436062
uf250-064.cnf 0.2 0 0.0690669
uf250-064.cnf 0.3 0 0.00806974
uf250-064.cnf 0.4 0 0.00182922
uf250-064.cnf 0.5 0 0.00194277
uf250-064.cnf 0.6 0 0.0085111
uf250-064.cnf 0.7 0 0.00916013
uf250-064.cnf 0.8 0 0.170477
uf250-064.cnf 0.9 15 20.0002
uf250-065.cnf 0.1 0 2.02536
uf250-065.cnf 0.2 0 0.457004
uf250-065.cnf 0.3 0 0.073592
uf250-065.cnf 0.4 0 0.0868845
uf250-065.cnf 0.5 0 0.0122773
uf250-065.cnf 0.6 0 0.00837431
uf250-065.cnf 0.7 0 0.226315
uf250-065.cnf 0.8 7 20.0002
uf250-065.cnf 0.9 13 20.0002
uf250-066.cnf 0.1 0 0.154111
uf250-066.cnf 0.2 0 0.0817279
uf250-066.cnf 0.3 0 0.0851024
uf250-066.cnf 0.4 0 0.00853426
uf250-066.cnf 0.5 0 0.0267382
uf250-066.cnf 0.6 0 0.00644497
uf250-066.cnf 0.7 0 0.0045084
uf250-066.cnf 0.8 0 1.1491
uf250-066.cnf 0.9 15 20.0002
uf250-067.cnf 0.1 0 0.0669505
uf250-067.cnf 0.2 0 0.0129093
uf250-067.cnf 0.3 0 0.1623
uf250-067.cnf 0.4 0 0.00509495
uf250-067.cnf 0.5 0 0.0301698
uf250-067.cnf 0.6 0 0.0248599
uf250-067.cnf 0.7 0 0.0357091
uf250-067.cnf 0.8 0 0.277371
uf250-067.cnf 0.9 16 20.0003
uf250-068.cnf 0.1 0 0.172837
uf250-068.cnf 0.2 0 0.0648358
uf250-068.cnf 0.3 0 0.00480554
uf250-068.cnf 0.4 0 0.0169135
uf250-068.cnf 0.5 0 0.00371658
uf250-068.cnf 0.6 0 0.00333678
uf250-068.cnf 0.7 0 0.0113509
uf250-068.cnf 0.8 0 2.12833
uf250-068.cnf 0.9 15 20.0002
uf250-069.cnf 0.1 0 0.056953
uf250-069.cnf 0.2 0 0.00783887
uf250-069.cnf 0.3 0 0.0775795
uf250-069.cnf 0.4 0 0.00940452
uf250-069.cnf 0.5 0 0.00492354
uf250-069.cnf 0.6 0 0.0152425
uf250-069.cnf 0.7 0 0.0157104
uf250-069.cnf 0.8 0 5.9418
uf250-069.cnf 0.9 13 20.0003
uf250-07.cnf 0.1 1 20.0002
uf250-07.cnf 0.2 0 3.17506
uf250-07.cnf 0.3 0 1.17743
uf250-07.cnf 0.4 0 1.6163
uf250-07.cnf 0.5 0 1.17059
uf250-07.cnf 0.6 0 0.00236721
uf250-07.cnf 0.7 0 0.378547
uf250-07.cnf 0.8 0 16.4711
uf250-07.cnf 0.9 18 20.0003
uf250-070.cnf 0.1 0 4.49461
uf250-070.cnf 0.2 0 2.13984
uf250-070.cnf 0.3 0 0.0718242
uf250-070.cnf 0.4 0 0.00243432
