instance it g initsat
uf250-073.cnf 0 2000 87.23
uf250-073.cnf 1 2000 88.5446
uf250-073.cnf 1 2000 86.8545
uf250-073.cnf 1 2000 88.9202
uf250-073.cnf 1 2000 88.9202
uf250-074.cnf 0 2000 87.5117
uf250-074.cnf 0 2000 85.1643
uf250-074.cnf 0 2000 86.5728
uf250-074.cnf 0 2000 87.3239
uf250-074.cnf 1 2000 88.0751
uf250-074.cnf 1 2000 87.1361
uf250-074.cnf 1 2000 86.4789
uf250-074.cnf 1 2000 87.3239
uf250-075.cnf 0 2000 88.4507
uf250-075.cnf 0 2000 86.6667
uf250-075.cnf 0 2000 86.5728
uf250-075.cnf 0 2000 89.7653
uf250-075.cnf 1 2000 86.1033
uf250-075.cnf 1 2000 88.3568
uf250-075.cnf 1 2000 87.23
uf250-075.cnf 1 2000 86.1033
uf250-076.cnf 0 2000 89.2019
uf250-076.cnf 0 2000 86.8545
uf250-076.cnf 0 2000 85.8216
uf250-076.cnf 0 2000 86.1972
uf250-076.cnf 1 2000 87.6995
uf250-076.cnf 1 2000 87.5117
uf250-076.cnf 1 2000 86.7606
uf250-076.cnf 1 2000 87.23
uf250-077.cnf 0 2000 87.9812
uf250-077.cnf 0 2000 87.9812
uf250-077.cnf 0 2000 87.3239
uf250-077.cnf 0 2000 87.5117
uf250-077.cnf 1 2000 88.169
uf250-077.cnf 1 2000 88.3568
uf250-077.cnf 1 2000 86.8545
uf250-077.cnf 1 2000 86.9484
uf250-078.cnf 0 2000 88.3568
uf250-078.cnf 0 2000 87.23
uf250-078.cnf 0 2000 87.8873
uf250-078.cnf 0 2000 85.9155
uf250-078.cnf 1 2000 89.2019
uf250-078.cnf 1 2000 87.6995
uf250-078.cnf 1 2000 87.23
uf250-078.cnf 1 2000 87.6056
uf250-079.cnf 0 2000 85.446
uf250-079.cnf 0 2000 87.0423
uf250-079.cnf 0 2000 88.6385
uf250-079.cnf 0 2000 85.8216
uf250-079.cnf 1 2000 90.4225
uf250-079.cnf 1 2000 87.0423
uf250-079.cnf 1 2000 87.4178
uf250-079.cnf 1 2000 88.7324
uf250-08.cnf 0 2000 86.2911
uf250-08.cnf 0 2000 86.6667
uf250-08.cnf 0 2000 87.6995
uf250-08.cnf 0 2000 88.4507
uf250-08.cnf 1 2000 87.6056
uf250-08.cnf 1 2000 87.7934
uf250-08.cnf 1 2000 86.2911
uf250-08.cnf 1 2000 87.4178
uf250-080.cnf 0 2000 88.0751
uf250-080.cnf 0 2000 88.7324
uf250-080.cnf 0 2000 88.169
uf250-080.cnf 0 2000 87.8873
uf250-080.cnf 1 2000 87.8873
uf250-080.cnf 1 2000 89.2019
uf250-080.cnf 1 2000 88.9202
uf250-080.cnf 1 2000 88.7324
uf250-081.cnf 0 2000 86.4789
uf250-081.cnf 0 2000 85.9155
uf250-081.cnf 0 2000 87.7934
uf250-081.cnf 0 2000 89.4836
uf250-081.cnf 1 2000 87.8873
uf250-081.cnf 1 2000 86.7606
uf250-081.cnf 1 2000 88.0751
uf250-081.cnf 1 2000 88.169
uf250-082.cnf 0 2000 86.7606
uf250-082.cnf 0 2000 85.9155
uf250-082.cnf 0 2000 90.047
uf250-082.cnf 0 2000 87.9812
uf250-082.cnf 1 2000 87.6995
uf250-082.cnf 1 2000 88.0751
uf250-082.cnf 1 2000 88.3568
uf250-082.cnf 1 2000 88.0751
uf250-083.cnf 0 2000 87.6056
uf250-083.cnf 0 2000 88.3568
uf250-083.cnf 0 2000 87.8873
uf250-083.cnf 0 2000 86.5728
uf250-083.cnf 1 2000 85.446
uf250-083.cnf 1 2000 86.9484
uf250-083.cnf 1 2000 87.0423
uf250-083.cnf 1 2000 87.9812
uf250-084.cnf 0 2000 88.2629
uf250-084.cnf 0 2000 88.169
uf250-084.cnf 0 2000 88.7324
uf250-084.cnf 0 2000 87.6995
uf250-084.cnf 1 2000 87.8873
uf250-084.cnf 1 2000 88.5446
uf250-084.cnf 1 2000 89.108
uf250-084.cnf 1 2000 89.2958
uf250-085.cnf 0 2000 87.8873
uf250-085.cnf 0 2000 88.6385
uf250-085.cnf 0 2000 87.6056
uf250-085.cnf 0 2000 87.1361
uf250-085.cnf 1 2000 87.9812
uf250-085.cnf 1 2000 87.23
uf250-085.cnf 1 2000 86.9484
uf250-085.cnf 1 2000 88.2629
uf250-086.cnf 0 2000 88.3568
uf250-086.cnf 0 2000 87.7934
uf250-086.cnf 0 2000 87.6056
uf250-086.cnf 0 2000 86.5728
uf250-086.cnf 1 2000 87.8873
uf250-086.cnf 1 2000 89.2019
uf250-086.cnf 1 2000 86.9484
uf250-086.cnf 1 2000 87.6056
uf250-087.cnf 0 2000 86.5728
uf250-087.cnf 0 2000 89.9531
uf250-087.cnf 0 2000 89.5775
uf250-087.cnf 0 2000 86.6667
uf250-087.cnf 1 2000 86.5728
uf250-087.cnf 1 2000 85.1643
uf250-087.cnf 1 2000 86.5728
uf250-087.cnf 1 2000 88.2629
uf250-088.cnf 0 2000 86.5728
uf250-088.cnf 0 2000 86.4789
uf250-088.cnf 0 2000 87.3239
uf250-088.cnf 0 2000 88.2629
uf250-088.cnf 1 2000 88.169
