instance p cost time
uuf250-053.cnf 0.9 21 20.0002
uuf250-054.cnf 0.1 1 0.308127
uuf250-054.cnf 0.2 1 0.00466029
uuf250-054.cnf 0.3 1 0.00745188
uuf250-054.cnf 0.4 1 0.00234024
uuf250-054.cnf 0.5 1 0.00879075
uuf250-054.cnf 0.6 1 0.00603396
uuf250-054.cnf 0.7 1 0.0269132
uuf250-054.cnf 0.8 1 10.5478
uuf250-054.cnf 0.9 19 20.0003
uuf250-055.cnf 0.1 1 0.830805
uuf250-055.cnf 0.2 1 0.244894
uuf250-055.cnf 0.3 1 0.0197694
uuf250-055.cnf 0.4 1 0.00760075
uuf250-055.cnf 0.5 1 0.0130133
uuf250-055.cnf 0.6 1 0.0194557
uuf250-055.cnf 0.7 1 0.0433352
uuf250-055.cnf 0.8 12 20.0002
uuf250-055.cnf 0.9 25 20.0027
uuf250-056.cnf 0.1 1 0.501464
uuf250-056.cnf 0.2 1 0.0133955
uuf250-056.cnf 0.3 1 0.00523695
uuf250-056.cnf 0.4 1 0.0205759
uuf250-056.cnf 0.5 1 0.00184677
uuf250-056.cnf 0.6 1 0.00286484
uuf250-056.cnf 0.7 1 0.0155702
uuf250-056.cnf 0.8 1 0.939929
uuf250-056.cnf 0.9 16 20.0002
uuf250-057.cnf 0.1 1 4.46753
uuf250-057.cnf 0.2 1 1.39959
uuf250-057.cnf 0.3 1 0.12807
uuf250-057.cnf 0.4 1 0.202137
uuf250-057.cnf 0.5 1 0.0124043
uuf250-057.cnf 0.6 1 0.0502895
uuf250-057.cnf 0.7 1 6.22232
uuf250-057.cnf 0.8 15 20.0003
uuf250-057.cnf 0.9 23 20.0003
uuf250-058.cnf 0.1 1 0.0862944
uuf250-058.cnf 0.2 1 0.0560421
uuf250-058.cnf 0.3 1 0.157492
uuf250-058.cnf 0.4 1 0.00658963
uuf250-058.cnf 0.5 1 0.0071848
uuf250-058.cnf 0.6 1 0.00595015
uuf250-058.cnf 0.7 1 0.00980599
uuf250-058.cnf 0.8 11 20.0003
uuf250-058.cnf 0.9 20 20.0002
uuf250-059.cnf 0.1 1 0.165314
uuf250-059.cnf 0.2 1 0.0342575
uuf250-059.cnf 0.3 1 0.166828
uuf250-059.cnf 0.4 1 0.00871657
uuf250-059.cnf 0.5 1 0.0243042
